Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","0.45","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","0.6","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","0.62","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","0.66","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","0.72","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","0.76","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","0.74","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","0.76","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","0.78","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","0.75","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","0.94","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","1.06","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","1.2","Fc","Calculated data"
"EL","Land use indicators","5000","World","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","1.43","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","0.05","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","0.08","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","0.1","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","0.11","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","0.11","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","0.12","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","0.09","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","0.09","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","0.1","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","0.09","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","0.11","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","0.15","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","0.16","Fc","Calculated data"
"EL","Land use indicators","5100","Africa","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","0.17","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","0.28","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","0.61","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","0.54","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","0.68","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","0.82","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","0.88","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","0.87","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","0.83","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","0.83","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","0.84","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","0.85","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","0.84","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","0.86","Fc","Calculated data"
"EL","Land use indicators","5200","Americas","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","0.94","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","0.01","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","0.17","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","0.19","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","0.19","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","0.21","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","0.25","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","0.2","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","0.26","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","0.24","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","0.25","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","0.27","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","0.27","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","0.33","Fc","Calculated data"
"EL","Land use indicators","5300","Asia","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","0.4","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","1.21","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","1.38","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","1.48","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","1.59","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","1.72","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","1.9","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","2.03","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","2.16","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","2.31","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","2.34","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","2.42","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","2.63","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","2.79","Fc","Calculated data"
"EL","Land use indicators","5400","Europe","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","2.98","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2004","2004","%","2.95","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2005","2005","%","2.77","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2006","2006","%","2.93","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2007","2007","%","2.93","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2008","2008","%","3.01","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2009","2009","%","3.05","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2010","2010","%","3.02","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2011","2011","%","2.78","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2012","2012","%","3.04","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2013","2013","%","2.57","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2014","2014","%","4.78","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2015","2015","%","6.32","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2016","2016","%","7.68","Fc","Calculated data"
"EL","Land use indicators","5500","Oceania","7208","Share in Agricultural land","6671","Agriculture area under organic agric.","2017","2017","%","9.31","Fc","Calculated data"
